Sample,Location,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Na+K,Mg#,type
MRWY157A,BaT,47.08783046,2.645614168,8.305997969,6.366587435,0.137612954,12.19238467,13.13270568,0.892125708,7.434380898,1.804760053,100,8.326506606,77.34322973,Lava
MRWY158,BaT,46.19319146,2.535244603,8.87853008,5.7915523,0.128107462,11.43447056,13.3871263,1.821236939,6.653723591,3.176816707,100,8.47496053,77.87296278,Lava
MRWY159,BaT,46.17140137,2.50863923,8.873533805,5.689885066,0.126261264,12.03524854,12.50795081,1.596406783,7.256394467,3.234278677,100,8.85280125,79.03764513,Lava
MRWY160,BaT,46.51267271,2.533482617,8.944744751,5.741003662,0.127191168,12.50196116,12.93627247,1.561452552,5.976950828,3.164268085,100,7.53840338,79.51573438,Lava
MRWY33,BaT,48.5465693,2.548495787,9.261051655,5.466734397,0.079640493,11.1724235,12.66283844,2.707776774,4.129928441,3.424541214,100,6.837705215,78.46230226,Lava
MRWY34A,BaT,47.80188134,2.525844289,8.935035082,5.586833532,0.122397741,12.07286808,12.51795077,1.624551833,5.819456224,2.993181117,100,7.444008057,79.38997241,Lava
MRWY34B,BaT,51.85686,0.832043805,15.3009614,9.188361853,0.237726801,7.261473207,11.34605189,3.263340638,0.443036312,0.270144093,100,3.70637695,58.48441584,Lava
MRWY32,BaT,54.61466008,2.417662431,10.38369302,4.641600245,0.066847809,7.821193671,6.539943995,1.949727767,9.71521493,1.849456053,100,11.6649427,75.02271985,Lava
MRWY180,BR,53.82067235,2.542467732,9.179431691,4.612226589,0.070760247,10.29239949,4.451871209,1.88898205,11.46663158,1.67455706,100,13.35561363,79.91100395,Lava
MRWY181,BR,53.9687754,2.563593739,9.269954962,4.604267576,0.071062818,10.15183121,4.614468731,1.743243743,11.14650558,1.866296242,100,12.88974932,79.71727669,Lava
MRWY182,BR,54.4650827,2.5790129,9.327260092,4.595381108,0.071865774,9.979658612,4.404709383,1.702352388,11.14174348,1.732933569,100,12.84409586,79.47083552,Lava
MRWY77,BT,53.94551845,2.508379582,10.51471768,4.762867843,0.0692108,7.832287268,6.442952127,1.668840294,10.45328797,1.801937986,100,12.12212827,74.56321606,Lava
MRWY78,BT,53.31452771,2.537325441,10.41531169,4.777961725,0.079496043,7.806368191,6.182684532,1.606290703,11.29519067,1.984843289,100,12.90148138,74.44014036,Lava
MRWY01,BT,55.03562296,2.666049364,10.06825701,4.252234985,0.062730573,7.590399367,5.25891306,1.265066561,11.87698854,1.923737581,100,13.1420551,76.08755835,Lava
MRWY02,BT,53.90044035,2.55477034,10.27121953,4.785273586,0.083421072,7.747732091,6.141876449,1.637138544,10.94901574,1.929112297,100,12.58615429,74.2672075,Lava
MRWY14,HM,49.72846329,1.15928913,15.89738224,10.87586785,0.151211626,9.022293663,9.072697538,2.772213137,1.068562155,0.252019376,100,3.840775291,59.65712032,Xeno
MRWY05,HM,71.85616091,0.231275077,15.67642805,1.547205228,0.020110876,0.653603479,3.01663144,4.836665743,2.081475694,0.080443505,100,6.918141436,42.95571351,Xeno
MRWY15,HM,47.73757418,2.570087777,9.217222431,5.618945234,0.103216377,10.35260257,14.26450325,1.021842128,5.934941655,3.179064399,100,6.956783783,76.65872832,Xeno
MRWY04,HM,50.96075688,0.933756151,10.41341099,10.60299809,0.202990468,10.7686443,11.47911094,2.415586564,1.887811348,0.334934271,100,4.303397912,64.417885,Xeno
MRWY47,HM,44.2823229,1.658125828,12.37376399,12.33696013,0.207265729,13.53445207,6.207608569,0.217629015,8.715523884,0.466347889,100,8.933152899,66.16565648,Xeno
MRWY166,CB,55.76369709,2.600062673,11.05281544,3.578154249,0.053326776,6.984482082,4.601601115,1.560037604,12.2559817,1.549841279,100,13.8160193,77.67610636,Lava
MRWY167,CB,55.69709841,2.594111433,10.98682489,3.588271781,0.05117012,7.019360348,4.590051288,1.536120888,12.38052398,1.55646686,100,13.91664486,77.71349854,Lava
MRWY282,DB,52.79301492,2.621148521,9.991201421,4.393350722,0.069383343,8.089583867,6.798539732,1.788548403,11.64612264,1.80910643,100,13.43467105,76.64783169,Lava
MRWY283,DB,53.15496217,2.619525461,10.10097172,4.47569144,0.069616182,8.07262321,5.78945705,1.763338151,12.09874211,1.855072505,100,13.86208026,76.27587098,Lava
