Sample,Location,type,Cs,Rb,Ba,Th,U,Nb,Ta,La,Ce,Pb,Pr,Sr,Nd,Sm,Zr,Hf,Eu,TiO2,Gd,Tb,Dy,Ho,Y,Er,Yb,Lu
MRWY01,BT,Lava,140.7777778,462.9038889,1121.291212,246.1928721,248.998358,80.22238443,58.27927928,278.5087449,215.2668657,204.8511111,160.7979003,145.7653099,117.1872,47.96141215,136.6645079,129.9458186,26.09090909,13.40579531,18.2064951,9.804713805,6.082591494,4.14541387,4.026356589,3.075342466,2.151927438,1.84691358
MRWY02,BT,Lava,142.1746032,582.3094444,1018.583333,261.2243187,239.8686371,106.8953771,81.45945946,265.4886831,196.7956219,166.6755556,142.2532808,123.570536,99.5432,37.50821018,145.5427619,137.3380448,21.92207792,12.87153615,14.59926471,7.898989899,4.864985163,3.624161074,3.315968992,2.574581431,1.866213152,1.555555556
MRWY04,C/HM,Xeno,64.53968254,103.2416667,325.43,24.08385744,72.16748768,6.321654501,4.918918919,33.98868313,33.20477612,50.94,32.62992126,32.47427136,30.85546667,22.43267652,7.863079365,8.928150766,10.2965368,4.742577496,13.26593137,9.851851852,7.705242334,6.718120805,6.161085271,6.127092846,5.541950113,5.10617284
MRWY05,C/HM,Xeno,7.46031746,52.48111111,125.9850505,2.477987421,7.684729064,1.208272506,3.153153153,14.34156379,8.430646766,84.61777778,4.990813648,22.20231156,3.5904,1.339901478,8.556222222,8.59246172,3.132034632,1.190165029,0.727328431,0.367003367,0.212660732,0.131991051,0.137674419,0.108066971,0.143613001,0.207407407
MRWY12,HM,Lava,144.5396825,359.13,1319.826667,369.475891,342.9064039,104.1581509,70.02702703,475.1080247,356.5353234,222.5755556,262.824147,160.9128643,186.9376,69.61740558,130.5440635,120.0765607,39.00649351,12.85509741,25.09742647,12.8989899,7.760633037,4.829977629,4.717674419,3.716894977,2.25547997,2.083950617
MRWY14,C/HM,Xeno,7.80952381,19.44277778,120.1229798,17.41719078,57.40558292,6.828223844,7.396396396,23.95987654,19.08477612,40.31111111,15.24934383,20.75170854,12.22026667,7.044334975,9.298190476,8.386336867,6.238095238,5.978771007,4.744485294,3.754208754,3.707715134,3.263982103,3.045813953,3.318112633,3.207105064,3.002469136
MRWY15,C/HM,Xeno,85.57142857,313.1138889,1960.381414,558.5199161,333.4975369,187.0282238,139.963964,653.1347737,479.0202985,323.0177778,348.6259843,298.5124791,244.1634667,86.11247947,150.092381,146.3050648,47.61688312,13.10661018,28.76838235,14.04040404,8.224035608,5.129753915,4.857906977,3.544901065,2.333333333,1.916049383
MRWY30,HM,Lava,129.8888889,345.3244444,1129.996616,350.0922432,435.2216749,97.35620438,66.3963964,458.936214,344.2728358,194.9311111,253.2782152,234.5607538,181.0450667,66.4819376,121.4624762,113.3286219,37.03896104,12.14001207,23.8817402,12.15151515,7.388724036,4.997762864,4.617364341,3.49847793,2.513983371,2.148148148
MRWY32,BaT,Lava,60.06349206,250.7566667,1134.294545,228.2180294,211.5763547,88.2136253,69.08108108,241.031893,179.840398,144.2533333,129.5826772,111.820067,90.9464,34.58045977,122.1522857,117.3168433,19.76190476,11.36739112,12.75061275,7.255892256,4.65628091,3.29082774,3.110542636,2.387366819,1.778533636,1.69382716
MRWY33,BaT,Lava,205.8730159,296.3627778,1886.733788,491.6142558,194.3021346,150.8155718,122.7297297,581.7628601,430.8989055,277.8422222,314.351706,254.9673534,220.3821333,77.98932677,122.8521587,130.1248528,41.93722944,11.71589248,26.50857843,12.62962963,7.073689416,4.570469799,4.23627907,3.290715373,2.018896447,1.511111111
MRWY34A,BaT,Lava,177.7777778,294.6761111,1680.740253,497.5890985,449.5073892,169.6248175,125.972973,579.4979424,428.519403,298.8266667,311.9973753,308.6027303,219.0634667,76.52298851,136.5481587,132.5371025,41.78571429,11.90822578,25.83394608,12.5016835,7.213649852,4.574944072,4.39627907,3.207762557,2.093726379,1.669135802
MRWY34B,BaT,Lava,6.047619048,2.835555556,132.1135859,7.379454927,43.97372742,7.411192214,8.36036036,18.59773663,14.78965174,42.16666667,11.7007874,22.83083752,9.841866667,6.00410509,8.467619048,7.959952886,5.248917749,4.007765662,4.371936275,3.363636364,3.1256182,2.879194631,2.658139535,2.689497717,2.686318972,2.617283951
MRWY35,DB,Lava,134.2063492,424.615,1063.672929,212.9811321,176.4696223,82.2350365,59.33333333,264.2073045,200.9472637,174.8555556,154.7099738,107.3548576,113.4784,44.9228243,133.5280635,127.3510012,25.09307359,13.42223406,16.18382353,8.909090909,5.585558853,3.724832215,3.569922481,2.584474886,1.684051398,1.634567901
MRWY38,DB,Lava,134.3492063,417.6111111,873.1252525,226.6373166,240.8045977,84.82676399,60.79279279,277.7613169,215.5723383,175.1355556,161.5931759,129.880871,117.9402667,45.92036125,134.6194921,128.8256773,26.00865801,13.44031668,17.00551471,9.430976431,5.948565776,3.868008949,3.715503876,2.941400304,1.812547241,1.595061728
MRWY42,DB,Lava,141.9047619,400.1977778,1033.158535,250.7002096,248.3251232,90.05790754,63.53153153,324.6394033,249.1285572,197.5555556,184.2165354,147.3161139,133.6994667,50.73809524,133.3587937,126.5053004,28.8008658,13.11976118,18.71568627,9.828282828,5.652818991,4.055928412,3.830465116,3.133181126,1.86696901,1.713580247
