   No. ,   SiO2  ,   Al2O3 ,   Na2O  ,   MgO   ,   K2O   ,   MnO   ,   TiO2  ,   F     ,   CaO   ,   FeO   ,  Total  ,Comment  ,Sample,Location,type,   Si,   Al,   Na,   Mg,   K,   Mn   ,   Ti,F,   Ca,   Fe,OH
2,42.88,12.39,1.64,11.59,1.56,0.1026,2.26,0.3896,12.11,14.15,99.0723,mrwy14_amph1_1 ,MRWY14,HM,cumul,6.33,2.16,0.47,2.55,0.29,0.01,0.25,0.18,1.92,1.75,1.82
3,42.99,12.23,1.79,11.63,1.61,0.0864,2.25,0.5345,12.06,13.93,99.111,mrwy14_amph1_2 ,MRWY14,HM,cumul,6.35,2.13,0.51,2.56,0.3,0.01,0.25,0.25,1.91,1.72,1.75
4,43.52,12.36,1.72,11.39,1.66,0.079,2.19,0.4222,12.02,13.87,99.2313,mrwy14_amph1_3 ,MRWY14,HM,cumul,6.4,2.14,0.49,2.5,0.31,0.01,0.24,0.2,1.89,1.71,1.8
5,43.39,11.95,1.76,11.81,1.48,0.0871,2.33,0.364,12.49,13.61,99.2711,mrwy14_amph1_4 ,MRWY14,HM,cumul,6.38,2.07,0.5,2.59,0.28,0.01,0.26,0.17,1.97,1.67,1.83
6,43.73,11.71,1.62,12.36,1.41,0.1091,2.13,0.4257,12.66,13,99.1549,mrwy14_amph1_5 ,MRWY14,HM,cumul,6.41,2.02,0.46,2.7,0.26,0.01,0.24,0.2,1.99,1.59,1.8
7,44.34,12.48,1.74,11.91,1.64,0.1096,1.79,0.3399,11.84,13.04,99.2296,mrwy14_amph1_6 ,MRWY14,HM,cumul,6.47,2.15,0.49,2.59,0.31,0.01,0.2,0.16,1.85,1.59,1.84
8,40.89,12.04,1.61,11.57,1.31,0.1062,2.41,0.3262,12.6,16.77,99.6325,mrwy14_amph1_7 ,MRWY14,HM,cumul,6.11,2.12,0.47,2.58,0.25,0.01,0.27,0.15,2.02,2.1,1.85
9,43.19,12.83,1.74,11.65,1.61,0.1072,2.1,0.4076,12.02,13.77,99.4249,mrwy14_amph2_1 ,MRWY14,HM,cumul,6.34,2.22,0.49,2.55,0.3,0.01,0.23,0.19,1.89,1.69,1.81
10,42.42,12.39,1.65,11.48,1.46,0.107,2.07,0.4232,12.33,15.49,99.8203,mrwy14_amph2_2 ,MRWY14,HM,cumul,6.26,2.16,0.47,2.53,0.28,0.01,0.23,0.2,1.95,1.91,1.8
11,42.43,12.71,1.86,11.38,1.67,0.0979,2.31,0.3914,11.88,14.36,99.0893,mrwy14_amph2_3 ,MRWY14,HM,cumul,6.28,2.22,0.53,2.51,0.32,0.01,0.26,0.18,1.88,1.78,1.82
12,44.16,12.92,1.98,11.25,1.82,0.0762,2.02,0.4211,11.76,12.83,99.2374,mrwy14_amph2_4 ,MRWY14,HM,cumul,6.45,2.22,0.56,2.45,0.34,0.01,0.22,0.19,1.84,1.57,1.81
13,42.85,12.93,1.79,11.62,1.69,0.0927,2.12,0.4572,12.12,13.96,99.63,mrwy14_amph2_5 ,MRWY14,HM,cumul,6.29,2.24,0.51,2.54,0.32,0.01,0.23,0.21,1.91,1.71,1.79
14,42.65,12.55,1.76,11.78,1.63,0.1037,2.29,0.418,12.25,13.91,99.3417,mrwy14_amph2_6 ,MRWY14,HM,cumul,6.28,2.18,0.5,2.59,0.31,0.01,0.25,0.19,1.93,1.71,1.81
15,43.46,12.88,1.77,10.74,1.67,0.099,2.15,0.3499,12.19,14.23,99.5389,mrwy14_amph2_7 ,MRWY14,HM,cumul,6.38,2.23,0.5,2.35,0.31,0.01,0.24,0.16,1.92,1.75,1.84
16,42.97,12.6,1.71,11.59,1.61,0.0881,2.17,0.3658,12.31,13.9,99.3139,mrwy14_amph2_8 ,MRWY14,HM,cumul,6.32,2.18,0.49,2.54,0.3,0.01,0.24,0.17,1.94,1.71,1.83
