   No. ,   CaO   ,   F     ,   P2O5  ,   La2O3 ,   SrO   ,   Cl    ,   BaO   ,  Total  ,Comment  ,Sample,Location
3,54.08,2.85,39.94,0.1386,2.05,0.014,0.0775,99.1502,mrwy57_apatite1_1 ,MRWY57,ZM
4,53.79,3.45,39.96,0.1559,2.06,0.0068,0.0699,99.4926,mrwy57_apatite1_2 ,MRWY57,ZM
5,54.03,3,39.54,0.1489,2.07,0.0182,0.0629,98.8701,mrwy57_apatite1_3 ,MRWY57,ZM
6,53.03,2.82,38.83,0.1644,2.06,0.0122,0.0487,96.9653,mrwy57_apatite1_4 ,MRWY57,ZM
7,53.86,2.94,40.2,0.1437,2.07,0.0073,0.0676,99.2887,mrwy57_apatite1_5 ,MRWY57,ZM
8,53.82,3.75,39.4,0.2104,2.53,0.0068,0.0703,99.7876,mrwy57_apatite2_1 ,MRWY57,ZM
9,51.92,5.01,39.09,0,4.79,0.0104,0.4851,101.3055,mrwy57_apatite3_1 ,MRWY57,ZM
10,53.71,4.59,40.49,0.1326,1.89,0.0086,0.0496,100.8707,mrwy57_apatite3_2 ,MRWY57,ZM
11,49.41,4.86,38.78,0.0906,8.08,0.0087,0.5062,101.7355,mrwy57_apatite3_3 ,MRWY57,ZM
12,54.12,4.72,40.38,0.1022,2,0.0047,0.0903,101.4172,mrwy57_apatite3_4 ,MRWY57,ZM
13,54.09,4.12,40.4,0.096,1.71,0.008,0.0634,100.4874,mrwy57_apatite3_5 ,MRWY57,ZM
14,54.04,3.94,40.24,0.1346,1.94,0.0085,0.0903,100.3933,mrwy57_apatite3_6 ,MRWY57,ZM
15,50.69,4.86,39.28,0.0118,6.63,0.002,0.4328,101.9065,mrwy57_apatite3_7 ,MRWY57,ZM
16,50.7,4.91,39.5,0,6.32,0.0236,0.4453,101.8988,mrwy57_apatite3_8 ,MRWY57,ZM
17,56.07,5,40.85,0.0348,0.1489,0.0058,0,102.1094,mrwy57_apatite3_9 ,MRWY57,ZM
18,50.69,4.21,38.43,0.0732,7.97,0.0127,0.5236,101.9094,mrwy57_apatite3_10 ,MRWY57,ZM
19,51.66,4.97,39.22,0,5.14,0.0036,0.4676,101.4612,mrwy57_apatite3_11 ,MRWY57,ZM
20,50.5,4.92,39.23,0.0545,6.76,0.0055,0.4868,101.9567,mrwy57_apatite3_12 ,MRWY57,ZM
21,54.2,3.24,40.28,0.1447,2,0.0111,0.0024,99.8783,mrwy57_apatite4_1 ,MRWY57,ZM
22,53.94,3.22,39.62,0.1885,2.17,0.0063,0.0791,99.224,mrwy57_apatite4_2 ,MRWY57,ZM
23,54.32,3.18,40.25,0.1669,1.94,0.0097,0.0767,99.9434,mrwy57_apatite4_3 ,MRWY57,ZM
24,54.48,3.21,39.87,0.1319,1.91,0.0036,0.0455,99.6511,mrwy57_apatite4_4 ,MRWY57,ZM
