   No. ,   MgO   ,   SiO2  ,   Na2O  ,   Al2O3 ,   Cr2O3 ,   MnO   ,   CaO   ,   TiO2  ,   NiO   ,   FeO   ,K2O,  Total  ,Comment  ,Location,Sample,Type,   Mg,   Si,   Na,   Al,   Cr,   Mn,   Ca,   Ti,   Ni,   Fe,K,Mg #,Mg,Fe,Ca
2,17.815,54.174,0.252,0.141,0.02,0.13,23.344,0.621,0.019,2.771,0.0116,99.287,mrwy46a_cpx1_2 ,STM,MRWY46,Lava,0.972693608,1.984164521,0.017894697,0.006086301,0.000579144,0.004032821,0.91607048,0.017110925,0.000559781,0.084875903,0.000541999,0.919744374,49.28424701,4.300475429,46.41527756
3,17.524,54.594,0.279,0.176,0.034,0.089,23.539,0.544,0.017,2.537,0.023,99.333,mrwy46a_cpx1_3 ,STM,MRWY46,Lava,0.954595672,1.994930053,0.019766237,0.007579542,0.000982271,0.002754556,0.921589682,0.014954668,0.0004997,0.077529026,0.001072172,0.924884051,48.86055411,3.968288665,47.17115722
4,17.874,54.977,0.217,0.145,0.033,0.099,23.892,0.538,0,2.394,0.0171,100.169,mrwy46a_cpx1_4 ,STM,MRWY46,Lava,0.965358212,1.991793542,0.015242635,0.006191257,0.00094525,0.003037927,0.927433173,0.014663602,0,0.072535153,0.000790339,0.930113097,49.11948182,3.690743088,47.18977509
5,18.01,54.824,0.224,0.162,0.037,0.101,23.755,0.606,0.023,2.582,0.0044,100.324,mrwy46a_cpx1_5 ,STM,MRWY46,Lava,0.972332565,1.985493083,0.015728334,0.006914491,0.001059422,0.003098117,0.921763553,0.016510697,0.000670044,0.078201485,0.000203284,0.925560256,49.29948521,3.964994192,46.73552059
6,17.59,54.657,0.31,0.129,0,0.09,23.936,0.732,0.009,2.72,0.017,100.173,mrwy46a_cpx2_1 ,STM,MRWY46,Lava,0.952489353,1.985347904,0.021831801,0.005522403,0,0.002768931,0.931556595,0.020003087,0.000262973,0.082626782,0.000787759,0.920176317,48.43151269,4.201348856,47.36713846
7,17.63,54.485,0.283,0.138,0.007,0.111,23.852,0.659,0.016,2.647,0.0149,99.828,mrwy46a_cpx2_2 ,STM,MRWY46,Lava,0.957700038,1.98541221,0.019993886,0.005926528,0.00020167,0.003425906,0.931248039,0.018065678,0.000468998,0.080665676,0.00069265,0.922314773,48.6237485,4.095507366,47.28074414
8,17.632,54.634,0.302,0.15,0.015,0.101,23.824,0.634,0.027,2.611,0.0114,99.93,mrwy46a_cpx2_3 ,STM,MRWY46,Lava,0.956353583,1.987817233,0.021303818,0.006432092,0.000431493,0.003112531,0.928741754,0.017353929,0.000790232,0.079447718,0.000529142,0.923298302,48.68071383,4.044081306,47.27520486
9,17.912,54.838,0.242,0.124,0.009,0.089,23.728,0.631,0.025,2.528,0.0018,100.126,mrwy46a_cpx2_4 ,STM,MRWY46,Lava,0.968489773,1.988974003,0.017017662,0.005300498,0.000258083,0.002734112,0.922094583,0.017217575,0.000729399,0.07668063,8.33E-05,0.92663337,49.23026536,3.897829263,46.87190537
10,17.066,54.56,0.409,0.149,0,0.13,23.989,0.607,0,3.474,0.0069,100.384,mrwy46a_cpx2_5 ,STM,MRWY46,Lava,0.925933172,1.985723632,0.028860562,0.006391139,0,0.004007436,0.935456129,0.016619894,0,0.10573904,0.000320367,0.897507136,47.070298,5.375299493,47.55440251
11,17.652,54.772,0.326,0.132,0,0.124,23.818,0.748,0.027,2.804,0.0021,100.403,mrwy46a_cpx2_6 ,STM,MRWY46,Lava,0.953854924,1.985379565,0.022910765,0.005639056,0,0.003807022,0.925032681,0.020397722,0.000787275,0.085001005,9.71E-05,0.918178255,48.56970598,4.328198907,47.10209511
12,17.658,54.833,0.284,0.154,0.009,0.094,23.742,0.719,0.02,2.74,0.0074,100.253,mrwy46a_cpx2_7 ,STM,MRWY46,Lava,0.954562358,1.988388946,0.019967087,0.006581541,0.000258031,0.002887128,0.92245135,0.019614775,0.000583401,0.083094255,0.00034233,0.919921239,48.69947857,4.239269315,47.06125211
13,17.989,55.004,0.221,0.118,0.03,0.092,24.158,0.505,0.01,2.374,0.0151,100.501,mrwy46a_cpx2_8 ,STM,MRWY46,Lava,0.96924294,1.988000268,0.015486436,0.005026338,0.000857261,0.002816364,0.935513329,0.013731205,0.000290737,0.071756952,0.00069623,0.931069203,49.03801955,3.630481777,47.33149868
14,18.228,55.069,0.177,0.099,0.025,0.107,23.695,0.474,0,2.646,0.0398,100.52,mrwy46a_cpx2_9 ,STM,MRWY46,Lava,0.981474079,1.98904013,0.012395004,0.004214238,0.000713914,0.003273399,0.916980089,0.01287982,0,0.079925857,0.00183389,0.9246977,49.60998729,4.039964805,46.3500479
16,17.585,54.875,0.325,0.155,0.015,0.09,24.033,0.599,0.024,2.691,0.057,100.392,mrwy46a_cpx2_11 ,STM,MRWY46,Lava,0.949780728,1.988163309,0.02282958,0.006618457,0.000429673,0.002761842,0.93293706,0.016326739,0.000699465,0.081536549,0.002634548,0.920939414,48.35324583,4.151017875,47.4957363
17,17.832,54.949,0.227,0.125,0.012,0.112,24.111,0.645,0.013,2.463,0.1221,100.489,mrwy46a_cpx2_12 ,STM,MRWY46,Lava,0.960927834,1.986310104,0.015909266,0.005325309,0.000342956,0.003429131,0.933833219,0.017540505,0.000378014,0.074458242,0.005630626,0.928086495,48.7974009,3.781104611,47.42149449
18,17.844,54.667,0.221,0.125,0.003,0.108,23.706,0.633,0.018,2.418,0.0054,99.743,mrwy46a_cpx2_13 ,STM,MRWY46,Lava,0.968142343,1.989613791,0.01559455,0.005361682,8.63E-05,0.003329248,0.924418565,0.017331748,0.000526979,0.073597141,0.000250721,0.929351683,49.24031125,3.743195563,47.01649319
19,17.471,54.701,0.284,0.156,0,0.096,24.199,0.573,0.008,2.919,0.0114,100.407,mrwy46a_cpx3_1 ,STM,MRWY46,Lava,0.945228346,1.985229773,0.01998347,0.006672485,0,0.002950975,0.940978653,0.015644628,0.000233552,0.088595306,0.000527806,0.91430327,47.86445425,4.486287367,47.64925839
20,17.982,54.69,0.288,0.145,0.005,0.103,23.706,0.707,0.017,2.696,0.0871,100.339,mrwy46a_cpx3_2 ,STM,MRWY46,Lava,0.971238755,1.98149269,0.020230848,0.00619156,0.000143227,0.003160826,0.920258142,0.01927077,0.000495463,0.08168937,0.00402584,0.922416956,49.22184851,4.139972534,46.63817896
21,17.85,54.625,0.274,0.163,0.001,0.081,23.569,0.754,0.006,2.731,0.0784,100.054,mrwy46a_cpx3_3 ,STM,MRWY46,Lava,0.96640324,1.983846876,0.019293202,0.006976728,2.87E-05,0.002491613,0.91711689,0.020600756,0.000175285,0.082946775,0.00363234,0.92095414,49.14413956,4.218061051,46.63779939
