   No. ,   SiO2  ,   Al2O3 ,   MgO   ,   CaO   ,   BaO   ,   Na2O  ,   K2O   ,   FeO   ,  Total  ,Comment  ,Location,Sample,Type,   Si  ,   Al,   Mg   ,   Ca,   Ba ,   Na,   K  ,   Fe   
1,60.68,17.62,1.305,0.018,0.0364,0.2124,15.46,3.6,98.9319,mrwy57_leu1_8 ,ZM,MRWY57,Lava,2.17,0.74,0.07,0,0,0.01,0.71,0.11
2,57.42,19.97,0.6117,0.0098,0.018,0.0633,20.12,2.21,100.4228,mrwy57_leu1_9 ,ZM,MRWY57,Lava,2.08,0.85,0.03,0,0,0,0.93,0.07
3,58.63,17.53,1.2016,0.0617,0,0.303,17.99,3.57,99.2864,mrwy57_leu1_10 ,ZM,MRWY57,Lava,2.13,0.75,0.07,0,0,0.02,0.84,0.11
4,57.07,20.58,0.4932,0.0526,0.0522,0.0269,20.61,1.8,100.6849,mrwy57_leu1_11 ,ZM,MRWY57,Lava,2.06,0.88,0.03,0,0,0,0.95,0.05
5,56.55,20.43,0.4458,0.0286,0,0.0201,21.1,1.73,100.3045,mrwy57_leu1_12 ,ZM,MRWY57,Lava,2.06,0.88,0.02,0,0,0,0.98,0.05
6,57.15,20.6,0.4935,0.0152,0.0422,0.014,20.7,1.86,100.8748,mrwy57_leu1_13 ,ZM,MRWY57,Lava,2.06,0.88,0.03,0,0,0,0.95,0.06
7,57.16,20.06,0.5933,0.0122,0.0381,0.0387,20.32,1.99,100.2122,mrwy57_leu1_14 ,ZM,MRWY57,Lava,2.07,0.86,0.03,0,0,0,0.94,0.06
8,57.76,18.99,0.7946,0.0197,0,0.0616,19.95,2.78,100.3558,mrwy57_leu1_15 ,ZM,MRWY57,Lava,2.1,0.81,0.04,0,0,0,0.92,0.08
15,56.53,19.89,0.5668,0.0046,0.1001,0.0159,20.56,2.04,99.7075,mrwy57_leu3_1 ,ZM,MRWY57,Lava,2.07,0.86,0.03,0,0,0,0.96,0.06
16,57.01,20.02,0.5775,0.0087,0.0366,0.0246,20.71,2.04,100.4273,mrwy57_leu3_2 ,ZM,MRWY57,Lava,2.07,0.86,0.03,0,0,0,0.96,0.06
17,56.85,20.26,0.52,0.007,0.0067,0.0318,20.4,1.83,99.9056,mrwy57_leu3_3 ,ZM,MRWY57,Lava,2.07,0.87,0.03,0,0,0,0.95,0.06
18,56.92,19.72,0.5969,0,0.0456,0.0628,20.55,2.19,100.0852,mrwy57_leu3_4 ,ZM,MRWY57,Lava,2.07,0.85,0.03,0,0,0,0.96,0.07
19,57.18,19.77,0.6267,0.0068,0,0.049,20.15,2.2,99.9826,mrwy57_leu3_5 ,ZM,MRWY57,Lava,2.08,0.85,0.03,0,0,0,0.93,0.07
20,57.32,19.75,0.6211,0.0078,0.0121,0.0762,20.1,2.17,100.0571,mrwy57_leu3_6 ,ZM,MRWY57,Lava,2.08,0.85,0.03,0,0,0.01,0.93,0.07
21,56.07,20.15,0.4991,0,0.0435,0.0283,20.81,1.85,99.451,mrwy57_leu3_7 ,ZM,MRWY57,Lava,2.06,0.87,0.03,0,0,0,0.97,0.06
22,57.16,19.74,0.624,0.001,0,0.0479,20.3,2.21,100.0828,mrwy57_leu4_1 ,ZM,MRWY57,Lava,2.08,0.85,0.03,0,0,0,0.94,0.07
23,57.09,19.88,0.6004,0,0.0099,0.1068,20.2,2.1,99.9872,mrwy57_leu4_2 ,ZM,MRWY57,Lava,2.08,0.85,0.03,0,0,0.01,0.94,0.06
