   No. ,   MgO   ,   SiO2  ,   Na2O  ,   Al2O3 ,   Cr2O3 ,   MnO   ,   CaO   ,   TiO2  ,   NiO   ,   FeO   ,K2O,Total,Comment  ,Location,Sample,type,   Mg,   Si,   Na,   Al,   Cr,   Mn,   Ca,   Ti,   Ni,   Fe,K,Mg #
1,51.83,41.17,0.0074,0.0042,0,0.1034,0.0186,0,0.3538,7.16,0.0068,100.6542,mrwy46a_0l1_1 ,STM,MRWY46,XCRYST,1.86,0.99,0,0,0,0,0,0,0.01,0.14,0,0.928076128
2,52,41.16,0.002,0,0.0034,0.0927,0.0179,0.009,0.3912,7.1,0.0026,100.7787,mrwy46a_0l1_2 ,STM,MRWY46,XCRYST,1.87,0.99,0,0,0,0,0,0,0.01,0.14,0,0.928852536
3,51.9,41.08,0.0032,0,0.0142,0.0835,0.0142,0,0.4137,7.15,0.0082,100.6669,mrwy46a_0l1_3 ,STM,MRWY46,XCRYST,1.86,0.99,0,0,0,0,0,0,0.01,0.14,0,0.928259296
4,52.08,41.14,0,0,0,0.0764,0.0218,0,0.3766,7.06,0.0114,100.7661,mrwy46a_0l1_4 ,STM,MRWY46,XCRYST,1.87,0.99,0,0,0,0,0,0,0.01,0.14,0,0.929326032
5,51.8,40.69,0,0,0.0148,0.0922,0.0228,0,0.3668,7.21,0.0044,100.2009,mrwy46a_0l1_5 ,STM,MRWY46,XCRYST,1.87,0.99,0,0,0,0,0,0,0.01,0.15,0,0.927571337
6,52.09,41.15,0.0032,0,0,0.1019,0.0173,0.005,0.3814,7.25,0.0069,101.0056,mrwy46a_0l1_6 ,STM,MRWY46,XCRYST,1.87,0.99,0,0,0,0,0,0,0.01,0.15,0,0.927574718
7,51.99,41.28,0.0113,0,0.0073,0.1103,0.0141,0.0004,0.3968,7.21,0,101.0201,mrwy46a_0l1_7 ,STM,MRWY46,XCRYST,1.86,0.99,0,0,0,0,0,0,0.01,0.14,0,0.927816924
8,52.03,41.48,0.0041,0,0,0.0786,0.0094,0,0.3926,7.16,0.0029,101.1575,mrwy46a_0l1_8 ,STM,MRWY46,XCRYST,1.86,0.99,0,0,0,0,0,0,0.01,0.14,0,0.928332785
9,52.38,41.59,0,0.0023,0.0034,0.0963,0.0194,0,0.3852,7.05,0.0082,101.5348,mrwy46a_0l1_9 ,STM,MRWY46,XCRYST,1.86,0.99,0,0,0,0,0,0,0.01,0.14,0,0.929794935
10,51.89,41.29,0,0.0051,0.003,0.0967,0.0083,0.0017,0.3786,7.23,0.0082,100.9116,mrwy46a_0l1_10 ,STM,MRWY46,XCRYST,1.86,0.99,0,0,0,0,0,0,0.01,0.15,0,0.927501829
11,51.87,41.27,0.0081,0,0,0.0852,0.0187,0.0026,0.379,7.16,0.0045,100.798,mrwy46a_0l1_11 ,STM,MRWY46,XCRYST,1.86,0.99,0,0,0,0,0,0,0.01,0.14,0,0.928127606
12,51.88,41.47,0.0104,0,0,0.0923,0.0225,0,0.3657,7.65,0.0149,101.5058,mrwy46a_0l2_1 ,STM,MRWY46,XCRYST,1.85,0.99,0,0,0,0,0,0,0.01,0.15,0,0.923598427
13,51.58,41.18,0.0007,0.0013,0,0.0895,0.0112,0.0001,0.3706,7.68,0.0082,100.9215,mrwy46a_0l2_2 ,STM,MRWY46,XCRYST,1.85,0.99,0,0,0,0,0,0,0.01,0.15,0,0.922910191
14,51.71,41.11,0.0054,0.0029,0.0093,0.0772,0.0048,0,0.3688,7.83,0.007,101.1254,mrwy46a_0l2_3 ,STM,MRWY46,XCRYST,1.85,0.99,0,0,0,0,0,0,0.01,0.16,0,0.921704537
15,51.75,41.17,0.0011,0,0,0.1028,0.0107,0,0.362,7.75,0.0075,101.154,mrwy46a_0l2_4 ,STM,MRWY46,XCRYST,1.85,0.99,0,0,0,0,0,0,0.01,0.16,0,0.92249775
16,51.47,41.24,0.0095,0,0.007,0.0909,0.0187,0.0057,0.3487,7.75,0.0146,100.9551,mrwy46a_0l2_5 ,STM,MRWY46,XCRYST,1.85,0.99,0,0,0,0,0,0,0.01,0.16,0,0.922108973
17,51.63,41.09,0,0,0.003,0.079,0.0183,0,0.3684,7.77,0.0104,100.969,mrwy46a_0l2_6 ,STM,MRWY46,XCRYST,1.85,0.99,0,0,0,0,0,0,0.01,0.16,0,0.922146778
