   No. ,   MgO   ,   SiO2  ,   Na2O  ,   Al2O3 ,   Cr2O3 ,MnO,   CaO   ,   TiO2  ,NiO,   FeO   ,  Total  ,Comment  ,Location,Sample,   Mg,   Si,   Na,   Al,   Cr,   Mn,   Ca,   Ti,   Ni,   Fe,K,Mg #,Mg,Fe,Ca
3,20.27,52.7,0.0124,1.3954,0.0141,,0.433,0.0384,,26.42,101.2832,pyroxene_test ,HM,MRWY14,1.13,1.97,0,0.06,0,0,0.02,0,0,0.82,0,0.577633715,57.2556003,41.86534582,0.879053887
4,20.23,52.46,0.1009,1.3808,0.0218,,0.3703,0.0423,,26.55,101.156,pyroxene_test ,HM,MRWY14,1.13,1.96,0.01,0.06,0,0,0.01,0,0,0.83,0,0.575953372,57.16220795,42.08577065,0.752021407
5,20.16,52.51,0.0579,1.2006,0.0196,,0.685,0.0839,,26.51,101.227,pyroxene1_1 ,HM,MRWY14,1.12,1.97,0,0.05,0,0,0.03,0,0,0.83,0,0.575474979,56.74995261,41.86415687,1.385890524
6,20.22,52.75,0.0543,1.1914,0.0257,,0.6704,0.0812,,26.41,101.4029,pyroxene1_2 ,HM,MRWY14,1.13,1.97,0,0.05,0,0,0.03,0,0,0.82,0,0.577123442,56.92941645,41.71397995,1.356603599
7,20.47,52.79,0.1186,1.0043,0.019,,0.313,0.0423,,26.52,101.2771,pyroxene1_3 ,HM,MRWY14,1.14,1.97,0.01,0.04,0,0,0.01,0,0,0.83,0,0.579106756,57.54444728,41.82315063,0.63240209
8,20.14,52.92,0.015,1.0453,0.0238,,0.5245,0.0699,,27.06,101.7984,pyroxene1_4 ,HM,MRWY14,1.12,1.97,0,0.05,0,0,0.02,0,0,0.84,0,0.570207464,56.4185965,42.52538462,1.05601888
9,20.29,52.67,0.0118,1.2212,0.0186,,0.5063,0.0655,,26.79,101.5733,pyroxene1_5 ,HM,MRWY14,1.13,1.96,0,0.05,0,0,0.02,0,0,0.84,0,0.574478171,56.86196948,42.11823956,1.019790957
10,20.21,52.91,0.0145,1.1082,0,,0.5547,0.0643,,26.9,101.7616,pyroxene1_6 ,HM,MRWY14,1.12,1.97,0,0.05,0,0,0.02,0,0,0.84,0,0.572509589,56.61160188,42.271636,1.11676212
11,20.42,52.69,0.0283,1.1288,0.0186,,0.6917,0.024,,26.21,101.2113,pyroxene2_1 ,HM,MRWY14,1.14,1.97,0,0.05,0,0,0.03,0,0,0.82,0,0.581374932,57.32609494,41.27825102,1.395654033
12,20.31,52.74,0.0284,1.035,0.0229,,0.5699,0.0502,,26.6,101.3563,pyroxene2_2 ,HM,MRWY14,1.13,1.97,0,0.05,0,0,0.02,0,0,0.83,0,0.576457693,56.98329787,41.86749135,1.149210782
13,20.41,52.93,0.0399,0.992,0.0149,,0.3706,0.031,,26.72,101.5083,pyroxene2_3 ,HM,MRWY14,1.13,1.97,0,0.04,0,0,0.01,0,0,0.83,0,0.576557907,57.22520847,42.02797629,0.746815241
14,20.3,52.54,0.0527,1.2944,0.0252,,0.4498,0.0468,,26.32,101.0288,pyroxene2_4 ,HM,MRWY14,1.13,1.97,0,0.06,0,0,0.02,0,0,0.82,0,0.578919196,57.36306404,41.7234137,0.913522256
15,20.47,52.95,0.0327,0.8766,0.0082,,0.3301,0.0293,,26.42,101.1168,pyroxene2_5 ,HM,MRWY14,1.14,1.98,0,0.04,0,0,0.01,0,0,0.83,0,0.580027305,57.6154032,41.71682255,0.667774246
16,20.15,52.74,0.0242,1.0406,0.0031,,0.7617,0.0614,,26.43,101.211,pyroxene2_6 ,HM,MRWY14,1.12,1.97,0,0.05,0,0,0.03,0,0,0.83,0,0.576092005,56.72140872,41.73753219,1.541059091
17,20.32,52.72,0.0755,1.1956,0.0197,,0.4727,0.0385,,26.41,101.2519,pyroxene2_7 ,HM,MRWY14,1.13,1.97,0.01,0.05,0,0,0.02,0,0,0.83,0,0.57832699,57.27884789,41.76347402,0.957678089
18,20.32,52.38,0.0526,1.1678,0.0189,,0.3583,0.1475,,26.7,101.1451,pyroxene2_8 ,HM,MRWY14,1.14,1.96,0,0.05,0,0,0.01,0,0,0.84,0,0.575661527,57.14922188,42.12651428,0.724263843
19,20.26,52.53,0.0343,1.2475,0.0173,,0.6234,0.0648,,26.22,100.9972,pyroxene2_9 ,HM,MRWY14,1.13,1.97,0,0.06,0,0,0.03,0,0,0.82,0,0.579366267,57.20368751,41.53124189,1.265070594
20,20.4,52.41,0.0422,1.1547,0.0142,,0.33,0.0321,,26.39,100.7731,pyroxene2_10 ,HM,MRWY14,1.14,1.97,0,0.05,0,0,0.01,0,0,0.83,0,0.579469527,57.55916662,41.77162457,0.669208808
21,20.43,52.62,0.0303,1.0625,0,,0.6961,0.063,,26.46,101.3618,pyroxene3_1 ,HM,MRWY14,1.14,1.97,0,0.05,0,0,0.03,0,0,0.83,0,0.579182074,57.10821614,41.49327494,1.398508918
22,20.72,52.72,0.0354,0.9985,0.012,,0.2751,0.0266,,26.33,101.1176,pyroxene3_2 ,HM,MRWY14,1.15,1.97,0,0.04,0,0,0.01,0,0,0.82,0,0.583810759,58.05763451,41.3883479,0.554017591
23,20.6,52.68,0.0139,1.1042,0.0068,,0.513,0.0314,,26.41,101.3592,pyroxene3_3 ,HM,MRWY14,1.15,1.97,0,0.05,0,0,0.02,0,0,0.82,0,0.581660766,57.56676163,41.40288707,1.030351298
24,20.3,51.64,0.4525,0.8831,0.0086,,0.7199,1.1693,,26.35,101.5233,pyroxene3_4 ,HM,MRWY14,1.13,1.94,0.03,0.04,0,0,0.03,0.03,0,0.83,0,0.578641474,57.02313927,41.52344238,1.453418342
25,20.61,52.75,0.0145,1.2211,0.0133,,0.3391,0.0503,,26.45,101.4482,pyroxene3_5 ,HM,MRWY14,1.15,1.97,0,0.05,0,0,0.01,0,0,0.82,0,0.581410572,57.74404553,41.57311223,0.682842248
26,20.43,52.92,0.1007,1.1796,0.0206,,0.7165,0.0507,,26.05,101.468,pyroxene3_6 ,HM,MRWY14,1.13,1.97,0.01,0.05,0,0,0.03,0,0,0.81,0,0.582983483,57.45406491,41.09772367,1.448211418
27,20.17,52.28,0.1796,1.2827,0.0399,,1.45,0.5986,,25.61,101.6107,pyroxene3_7 ,HM,MRWY14,1.12,1.95,0.01,0.06,0,0,0.06,0.02,0,0.8,0,0.584010717,56.69044144,40.38045099,2.92910757
28,20.31,52.72,0.1082,1.3085,0.0082,,1.1001,0.0341,,25.47,101.0591,pyroxene3_8 ,HM,MRWY14,1.13,1.97,0.01,0.06,0,0,0.04,0,0,0.8,0,0.587019695,57.39044068,40.37534321,2.234216111
