   No. ,   Al2O3 ,   MgO   ,   MnO   ,   CaO   ,   TiO2  ,   SiO2  ,   FeO   ,   Cr2O3 ,  Total  ,Comment  ,,Location,Sample
1,9.84,12.32,0.1841,0.0437,0.4719,1.9575,23.03,50.89,98.7373,mrwy44_ox_xeno1 ,,STM,MRWY44
2,10.85,12.87,0.2119,0.0618,0.0892,0.0195,20.44,55.88,100.4224,mrwy44_ox_xeno2 ,,STM,MRWY44
3,10.69,12.68,0.1664,0.0269,0.0975,0.0201,20.06,56.81,100.5508,mrwy44_ox_xeno3 ,,STM,MRWY44
4,10.48,12.53,0.1559,0.0487,0.131,0.021,21.86,54.63,99.8567,mrwy44_ox_xeno4 ,,STM,MRWY44
5,7.03,15.11,0.1439,0.2956,0.9898,7.03,22.59,47.75,100.9392,mrwy44_ox_xeno5 ,,STM,MRWY44
6,10.33,12.64,0.1643,0.0058,0.375,0.0182,22.78,53.69,100.0032,mrwy44_ox_xeno6 ,,STM,MRWY44
7,11.54,12.71,0.1893,0.0155,0.1117,0.0218,20.4,54.77,99.7584,mrwy44_ox_xeno7 ,,STM,MRWY44
8,4.64,7.46,0.1236,0.3527,1.85,28.22,15.93,36.26,94.8364,mrwy44_ox_xeno8 ,,STM,MRWY44
9,12.51,12.67,0.1782,0.1227,0.1488,0.0159,21.17,52.4,99.2157,mrwy44_ox_xeno9 ,,STM,MRWY44
10,5.8,11.49,0.2047,0.1239,0.3065,0.0385,21.75,59.68,99.3937,mrwy44_ox_xeno10 ,,STM,MRWY44
11,10.96,12.48,0.1566,0.1763,0.2231,0.019,22.28,52.55,98.8451,mrwy44_ox_xeno11 ,,STM,MRWY44
12,7.6,11.82,0.2142,0.1403,0.4155,0.4978,23.03,55.82,99.5379,mrwy44_ox_xeno12 ,,STM,MRWY44
13,7.77,13.02,0.1421,0.0002,0.26,0.0244,19.92,59.01,100.1466,mrwy44_ox_xeno13 ,,STM,MRWY44
14,10.16,13.61,0.1454,0,0.0898,0.0139,18.45,57.9,100.369,mrwy44_ox_xeno14 ,,STM,MRWY44
15,7.38,19.55,0.2002,0.1332,1.2797,22.73,11.86,27.91,91.0432,mrwy44_ox_xeno15 ,,STM,MRWY44
16,8.48,13.41,0.1635,0.0158,0.5368,0.7436,21.64,54.15,99.1398,mrwy44_ox_xeno16 ,,STM,MRWY44
17,9.51,10.63,0.4964,0.0369,0.1075,0.6733,20.47,57.42,99.3442,mrwy247_ox_matrix1 ,,EH,MRWY247
18,9.23,11.05,0.4961,0.0087,0.0926,0,20.24,58.6,99.7174,mrwy247_ox_matrix2 ,,EH,MRWY247
19,8.15,9.65,0.6038,0.0057,0.2248,0.048,21.94,58.71,99.3324,mrwy247_ox_matrix3 ,,EH,MRWY247
20,7.93,9.97,0.4372,0.0148,0.5007,0.0794,22.27,57.74,98.9422,mrwy247_ox_matrix4 ,,EH,MRWY247
21,22.96,13.73,0.2309,0,0.3773,1.8086,20.05,39.11,98.2669,mrwy247_ox_matrix5 ,,EH,MRWY247
22,22.41,13.73,0.2086,0.0045,0.5042,1.2471,19.76,40.82,98.6845,mrwy247_ox_matrix6 ,,EH,MRWY247
23,10.52,9.07,0.4016,0.0031,2.15,6.37,24.18,42.56,95.2548,mrwy247_ox_matrix7 ,,EH,MRWY247
24,12.28,10.04,0.4251,0.0018,2.02,4.35,26.67,40.72,96.507,mrwy247_ox_matrix8 ,,EH,MRWY247
25,8.12,5.01,0.4822,0.016,2.08,17.08,24.31,34.55,91.6482,mrwy247_ox_matrix9 ,,EH,MRWY247
26,8.87,7.76,0.3965,0.0176,2.19,16.07,20.64,36.37,92.3142,mrwy247_ox_matrix10 ,,EH,MRWY247
27,26.15,15.74,0.2737,0.0042,0.1193,0.0189,15.29,41.57,99.1662,mrwy247_ox_matrix11 ,,EH,MRWY247
28,22.92,10.99,0.358,0.0147,0.5443,2.26,21.05,39.5,97.6371,mrwy247_ox_matrix12 ,,EH,MRWY247
29,10.94,5.41,0.5128,0.023,2.05,10.99,27.56,36.15,93.6359,mrwy247_ox_matrix13 ,,EH,MRWY247
30,6.68,5.8,0.3163,0.0891,4.29,23.87,28.76,21.35,91.1555,mrwy247_ox_matrix14 ,,EH,MRWY247
31,6.96,4.63,0.354,0.9135,4.08,32.46,25.79,11.93,87.1176,mrwy247_ox_matrix15 ,,EH,MRWY247
32,8.6,21.04,0.0536,0.0738,12.35,41.85,5.81,0.4706,90.248,mrwy247_ox_xeno1 ,,EH,MRWY247
33,8.51,17.78,0.0458,0.0501,18.38,35.57,5.47,1.86,87.666,mrwy247_ox_xeno2 ,,EH,MRWY247
34,5.71,16.77,0.0279,0.0346,29.6,27.03,6.12,2.75,88.0426,mrwy247_ox_xeno3 ,,EH,MRWY247
35,0.5514,0.5375,0,0.0623,64.3,1.9264,12.17,0.7282,80.2759,mrwy304_ox_matrix1 ,,EH,MRWY304
36,0.1178,1.88,0.0326,0.434,54.22,4.61,11.05,1.0618,73.4063,mrwy304_ox_matrix2 ,,EH,MRWY304
