   No. ,   SiO2  ,   Al2O3 ,   Na2O  ,   F     ,   K2O   ,   MnO   ,   CaO   ,   MgO   ,   TiO2  ,   FeO   ,   Cr2O3 ,   NiO   ,   Cl    ,   Rb2O  ,   BaO   ,  Total  ,Comment  ,Location,Sample,type,   Si  ,   Al,   Na  ,   K,   Mn ,   Ca,   Mg ,   Ti ,   Fe,   Cr,   Ni   ,   Rb ,   Ba   ,   Cl    ,   F     ,OH
2,41.59,12.1,0.19,1.46,10.97,0.01,0,25.36,2.27,3.13,0.97,0,0,0.34,0.64,97.09,mrwy54_phl1_1 ,ZM,MRWY54,lava,5.76,1.98,0.05,1.94,0,0,5.24,0.35,0.36,0.11,0,0.03,0.03,0,0.64,3.36
3,41.7,12.01,0.16,1.53,10.73,0.02,0.01,25.38,2.26,3.17,0.8,0.1,0.01,0.03,0.85,96.97,mrwy54_phl1_2 ,ZM,MRWY54,lava,5.78,1.96,0.04,1.9,0,0,5.25,0.35,0.37,0.09,0.01,0,0.05,0,0.67,3.33
4,41.33,12.17,0.13,1.48,10.7,0.02,0,25.38,2.25,2.97,1.13,0,0,0.02,0.85,96.43,mrwy54_phl1_3 ,ZM,MRWY54,lava,5.75,1.99,0.03,1.9,0,0,5.26,0.35,0.35,0.12,0,0,0.05,0,0.65,3.35
5,41.45,12.02,0.13,1.6,10.76,0.02,0.01,25.43,2.23,3.08,0.67,0.01,0,0.07,0.96,96.73,mrwy54_phl1_4 ,ZM,MRWY54,lava,5.78,1.97,0.04,1.91,0,0,5.28,0.35,0.36,0.07,0,0.01,0.05,0,0.71,3.29
7,41.71,12.17,0.14,1.52,10.78,0.02,0.01,25.33,2.32,3.09,0.53,0.03,0,0.09,0.82,97.08,mrwy54_phl1_6 ,ZM,MRWY54,lava,5.79,1.99,0.04,1.91,0,0,5.24,0.36,0.36,0.06,0,0.01,0.04,0,0.67,3.33
8,41.67,12.06,0.13,1.62,10.82,0.04,0.01,25.68,2.29,3.06,0.58,0,0,0.07,0.75,97.37,mrwy54_phl1_7 ,ZM,MRWY54,lava,5.78,1.97,0.03,1.91,0,0,5.31,0.36,0.35,0.06,0,0.01,0.04,0,0.71,3.29
9,41.33,12.11,0.14,1.54,10.87,0.03,0,25.39,2.26,2.98,0.02,0,0,0.02,2.66,96.65,mrwy54_phl1_8 ,ZM,MRWY54,lava,5.77,1.99,0.04,1.93,0,0,5.28,0.36,0.35,0,0,0,0.15,0,0.68,3.32
10,41.35,12.1,0.13,1.57,10.83,0.03,0.03,25.42,2.15,3.02,0.03,0,0,0,2.55,96.63,mrwy54_phl1_9 ,ZM,MRWY54,lava,5.78,1.99,0.04,1.93,0,0,5.29,0.34,0.35,0,0,0,0.14,0,0.69,3.31
11,41.94,12.09,0.15,1.44,10.88,0.03,0.01,25.17,2.25,2.93,0.06,0,0.01,0,2.77,96.89,mrwy54_phl1_10 ,ZM,MRWY54,lava,5.82,1.98,0.04,1.93,0,0,5.21,0.35,0.34,0.01,0,0,0.15,0,0.63,3.37
12,41.52,12.14,0.14,1.62,10.89,0.03,0,25.34,2.24,3.01,0.65,0,0,0,0.9,96.93,mrwy54_phl1_11 ,ZM,MRWY54,lava,5.78,1.99,0.04,1.93,0,0,5.26,0.35,0.35,0.07,0,0,0.05,0,0.71,3.29
13,41.63,12.19,0.15,1.64,10.76,0.02,0.01,25.52,2.22,2.96,0.84,0.07,0,0.02,0.83,97.11,mrwy54_phl1_12 ,ZM,MRWY54,lava,5.77,1.99,0.04,1.9,0,0,5.27,0.35,0.34,0.09,0.01,0,0.05,0,0.72,3.28
14,40.29,12.09,0.96,1.34,10.72,0.02,0.02,24.5,2.51,2.96,1.27,0.09,0.01,0.03,0.96,95.42,mrwy54_phl2_1 ,ZM,MRWY54,lava,5.67,2,0.26,1.92,0,0,5.14,0.4,0.35,0.14,0.01,0,0.05,0,0.6,3.4
15,41.68,11.81,0.14,1.52,10.9,0.02,0,25.11,2.59,3.02,1.45,0.12,0,0.01,1.05,96.8,mrwy54_phl2_2 ,ZM,MRWY54,lava,5.75,1.92,0.04,1.92,0,0,5.17,0.4,0.35,0.16,0.01,0,0.06,0,0.66,3.34
16,41.75,12.07,0.14,1.57,10.89,0.04,0.01,24.9,2.51,3.11,1.36,0.15,0,0,1.02,96.99,mrwy54_phl2_3 ,ZM,MRWY54,lava,5.76,1.96,0.04,1.92,0,0,5.12,0.39,0.36,0.15,0.02,0,0.06,0,0.68,3.32
17,41.35,12.56,0.14,1.39,10.84,0.05,0,24.66,2.42,3.39,1.3,0.03,0,0.05,0.98,96.8,mrwy54_phl2_4 ,ZM,MRWY54,lava,5.72,2.05,0.04,1.91,0.01,0,5.09,0.38,0.39,0.14,0,0,0.05,0,0.61,3.39
