   No. ,   SiO2  ,   Al2O3 ,   MgO   ,   CaO   ,   BaO   ,   Na2O  ,   K2O   ,   FeO   ,  Total  ,Comment  ,Location,Sample,type,lat,lon
3,55.94,28.42,0.0045,10.7,0,5.6,0.1985,0.0297,100.8926,mrwy14_plag1_1 ,HM,MRWY14,cumul,41.83061111,108.9660833
4,55.69,28.31,0,10.68,0.0191,5.65,0.2076,0.058,100.6146,mrwy14_plag1_2 ,HM,MRWY14,cumul,41.83061111,108.9660833
5,55.84,28.44,0.0043,10.85,0,5.59,0.2078,0.0075,100.9396,mrwy14_plag1_3 ,HM,MRWY14,cumul,41.83061111,108.9660833
6,55.89,28.43,0.0019,10.82,0,5.57,0.2135,0.0506,100.9759,mrwy14_plag1_4 ,HM,MRWY14,cumul,41.83061111,108.9660833
7,55.61,28.24,0.0128,10.56,0.0447,5.8,0.1979,0.0594,100.5247,mrwy14_plag1_5 ,HM,MRWY14,cumul,41.83061111,108.9660833
8,55.48,28.19,0.0134,10.58,0,5.76,0.2103,0.0891,100.3227,mrwy14_plag1_6 ,HM,MRWY14,cumul,41.83061111,108.9660833
9,55.6,28.43,0.0029,10.71,0.0581,5.53,0.2725,0.086,100.6894,mrwy14_plag1_7 ,HM,MRWY14,cumul,41.83061111,108.9660833
10,55.75,28.4,0.0156,10.83,0,5.52,0.2047,0.046,100.7662,mrwy14_plag1_8 ,HM,MRWY14,cumul,41.83061111,108.9660833
11,55.57,28.42,0.0046,10.73,0.0173,5.52,0.1912,0.0045,100.4575,mrwy14_plag1_9 ,HM,MRWY14,cumul,41.83061111,108.9660833
12,55.3,28.49,0.0077,10.78,0.0513,5.51,0.2143,0.0815,100.4347,mrwy14_plag1_10 ,HM,MRWY14,cumul,41.83061111,108.9660833
13,55.23,28.44,0.0164,11.03,0,5.45,0.2043,0.1083,100.4789,mrwy14_plag1_11 ,HM,MRWY14,cumul,41.83061111,108.9660833
14,55.57,28.37,0,10.85,0.0191,5.48,0.2049,0.0861,100.58,mrwy14_plag2_1 ,HM,MRWY14,cumul,41.83061111,108.9660833
15,55.89,28.33,0,10.59,0,5.6,0.2355,0.0416,100.687,mrwy14_plag2_2 ,HM,MRWY14,cumul,41.83061111,108.9660833
16,55.61,28.39,0,10.77,0,5.56,0.2334,0.0239,100.5872,mrwy14_plag2_3 ,HM,MRWY14,cumul,41.83061111,108.9660833
17,55.97,28.3,0.0046,10.61,0.0527,5.6,0.2334,0.0704,100.841,mrwy14_plag2_4 ,HM,MRWY14,cumul,41.83061111,108.9660833
18,55.74,28.37,0.0058,10.71,0,5.56,0.2193,0.003,100.608,mrwy14_plag2_5 ,HM,MRWY14,cumul,41.83061111,108.9660833
19,56.01,28.24,0.0098,10.55,0,5.63,0.2256,0.1034,100.7688,mrwy14_plag2_6 ,HM,MRWY14,cumul,41.83061111,108.9660833
20,55.69,28.41,0.004,10.69,0,5.61,0.2344,0.063,100.7013,mrwy14_plag2_7 ,HM,MRWY14,cumul,41.83061111,108.9660833
21,55.62,28.39,0,10.69,0,5.55,0.2221,0.015,100.487,mrwy14_plag2_8 ,HM,MRWY14,cumul,41.83061111,108.9660833
22,55.93,28.43,0.0095,10.74,0,5.56,0.2087,0.0405,100.9186,mrwy14_plag2_9 ,HM,MRWY14,cumul,41.83061111,108.9660833
23,55.72,28.4,0.0009,10.74,0.012,5.51,0.2077,0.0344,100.625,mrwy14_plag2_10 ,HM,MRWY14,cumul,41.83061111,108.9660833
24,56.08,28.45,0.0073,10.67,0,5.66,0.2225,0,101.0897,mrwy14_plag2_11 ,HM,MRWY14,cumul,41.83061111,108.9660833
25,55.46,28.52,0.0016,10.81,0.0723,5.48,0.2236,0.033,100.6004,mrwy14_plag2_12 ,HM,MRWY14,cumul,41.83061111,108.9660833
26,53.55,30.06,0.0118,12.64,0,4.43,0.1812,0.1229,100.9958,mrwy14_plag2_13 ,HM,MRWY14,cumul,41.83061111,108.9660833
27,55.62,28.39,0.0061,10.82,0,5.62,0.2143,0.0615,100.7318,mrwy14_plag3_1 ,HM,MRWY14,cumul,41.83061111,108.9660833
28,55.7,28.48,0.0038,10.78,0,5.55,0.2189,0.036,100.7687,mrwy14_plag3_2 ,HM,MRWY14,cumul,41.83061111,108.9660833
29,55.21,28.56,0.0348,10.99,0.029,5.39,0.2913,0.309,100.814,mrwy14_plag3_3 ,HM,MRWY14,cumul,41.83061111,108.9660833
30,55.58,28.53,0.0092,10.84,0.0462,5.42,0.214,0.066,100.7053,mrwy14_plag3_4 ,HM,MRWY14,cumul,41.83061111,108.9660833
31,55.55,28.51,0.0093,10.83,0,5.54,0.2073,0.06,100.7065,mrwy14_plag3_5 ,HM,MRWY14,cumul,41.83061111,108.9660833
32,55.11,28.61,0.003,10.87,0.0369,5.45,0.2051,0.0828,100.3678,mrwy14_plag3_6 ,HM,MRWY14,cumul,41.83061111,108.9660833
33,55.32,28.5,0.0118,10.91,0.0066,5.46,0.2025,0.068,100.4789,mrwy14_plag3_7 ,HM,MRWY14,cumul,41.83061111,108.9660833
34,55.2,28.42,0.0039,10.91,0.0359,5.44,0.2139,0.0788,100.3024,mrwy14_plag3_8 ,HM,MRWY14,cumul,41.83061111,108.9660833
35,55.36,28.59,0.0086,10.99,0,5.4,0.2071,0.132,100.6876,mrwy14_plag3_9 ,HM,MRWY14,cumul,41.83061111,108.9660833
36,55.17,28.56,0,10.82,0.0526,5.45,0.2147,0.0744,100.3416,mrwy14_plag3_10 ,HM,MRWY14,cumul,41.83061111,108.9660833
37,55.36,28.49,0.0045,10.96,0.033,5.43,0.2422,0.0592,100.5788,mrwy14_plag3_11 ,HM,MRWY14,cumul,41.83061111,108.9660833
38,55.86,28.32,0.0093,10.64,0,5.52,0.2096,0.0243,100.5831,mrwy14_plag3_12 ,HM,MRWY14,cumul,41.83061111,108.9660833
39,55.1,28.3,0.0124,10.79,0,5.39,0.2282,0.0546,99.8753,mrwy14_plag3_13 ,HM,MRWY14,cumul,41.83061111,108.9660833
40,55.3,28.51,0.0024,10.92,0.0383,5.44,0.2106,0.0743,100.4956,mrwy14_plag3_14 ,HM,MRWY14,cumul,41.83061111,108.9660833
41,55.89,28.22,0.0046,10.52,0,5.73,0.2019,0.0348,100.6012,mrwy14_plag4_1 ,HM,MRWY14,cumul,41.83061111,108.9660833
42,55.58,28.27,0.0049,10.54,0.0176,5.76,0.2176,0.0258,100.4159,mrwy14_plag4_2 ,HM,MRWY14,cumul,41.83061111,108.9660833
43,55.74,28.13,0.0041,10.43,0.0512,5.74,0.2154,0.1031,100.4137,mrwy14_plag4_3 ,HM,MRWY14,cumul,41.83061111,108.9660833
44,56.38,27.87,0,10.09,0.0786,5.92,0.2521,0.0348,100.6254,mrwy14_plag4_4 ,HM,MRWY14,cumul,41.83061111,108.9660833
45,56,28.11,0.0039,10.4,0.0872,5.72,0.2428,0.0197,100.5835,mrwy14_plag4_5 ,HM,MRWY14,cumul,41.83061111,108.9660833
46,55.91,28.28,0,10.43,0,5.74,0.2318,0.0394,100.6311,mrwy14_plag4_6 ,HM,MRWY14,cumul,41.83061111,108.9660833
47,51.86,26.11,0.0198,9.67,0.1555,6.93,0.949,0.0425,95.7369,mrwy14_plag4_7 ,HM,MRWY14,cumul,41.83061111,108.9660833
48,55.5,28.24,0,10.71,0,5.56,0.2086,0.0213,100.2398,mrwy14_plag4_8 ,HM,MRWY14,cumul,41.83061111,108.9660833
49,55.57,27.97,0.0093,10.41,0.0327,5.7,0.2309,0.0702,99.9932,mrwy14_plag4_9 ,HM,MRWY14,cumul,41.83061111,108.9660833
50,56.03,27.7,0.0113,10.31,0,5.68,0.2282,0.1052,100.0646,mrwy14_plag4_10 ,HM,MRWY14,cumul,41.83061111,108.9660833
51,55.66,28.1,0,10.47,0.0592,5.59,0.2321,0.0656,100.1768,mrwy14_plag4_11 ,HM,MRWY14,cumul,41.83061111,108.9660833
52,55.56,28.22,0.0021,10.48,0.0451,5.65,0.2489,0.1617,100.3677,mrwy14_plag4_12 ,HM,MRWY14,cumul,41.83061111,108.9660833
53,55.48,28.2,0.0097,10.57,0,5.55,0.1961,0.0503,100.056,mrwy14_plag4_13 ,HM,MRWY14,cumul,41.83061111,108.9660833
54,55.45,28.18,0.0029,10.5,0,5.6,0.2162,0.0488,99.998,mrwy14_plag5_1 ,HM,MRWY14,cumul,41.83061111,108.9660833
55,54.36,27.72,0.0335,10.49,0,6.01,0.2203,0.0762,98.9101,mrwy14_plag5_2 ,HM,MRWY14,cumul,41.83061111,108.9660833
56,55.36,28.19,0.0036,10.48,0.0133,5.61,0.2201,0.0809,99.958,mrwy14_plag5_3 ,HM,MRWY14,cumul,41.83061111,108.9660833
57,54.93,28.06,0.0027,10.46,0,5.67,0.2006,0.0777,99.401,mrwy14_plag5_4 ,HM,MRWY14,cumul,41.83061111,108.9660833
58,55.22,28.02,0.0057,10.36,0.0087,5.63,0.2225,0.0792,99.5462,mrwy14_plag5_5 ,HM,MRWY14,cumul,41.83061111,108.9660833
59,55.62,27.77,0.0078,10.19,0.0953,5.68,0.269,0.0731,99.7052,mrwy14_plag5_6 ,HM,MRWY14,cumul,41.83061111,108.9660833
60,55.51,27.9,0.0231,10.26,0,5.71,0.2214,0.0793,99.7038,mrwy14_plag5_7 ,HM,MRWY14,cumul,41.83061111,108.9660833
61,55.35,28.1,0.0106,10.31,0.0747,5.65,0.234,0.0899,99.8192,mrwy14_plag5_8 ,HM,MRWY14,cumul,41.83061111,108.9660833
62,55.1,28.41,0.0133,10.72,0.0506,5.54,0.2141,0.096,100.1439,mrwy14_plag5_9 ,HM,MRWY14,cumul,41.83061111,108.9660833
63,55.15,28.31,0.0047,10.57,0.0867,5.49,0.21,0.0229,99.8444,mrwy14_plag5_10 ,HM,MRWY14,cumul,41.83061111,108.9660833
64,55.32,28.43,0,10.56,0.0571,5.52,0.2045,0.0214,100.1129,mrwy14_plag5_11 ,HM,MRWY14,cumul,41.83061111,108.9660833
65,55.37,28.5,0,10.61,0,5.53,0.1948,0.0184,100.2231,mrwy14_plag5_12 ,HM,MRWY14,cumul,41.83061111,108.9660833
66,55.13,28.46,0.0047,10.59,0.0255,5.53,0.2103,0.0184,99.9689,mrwy14_plag5_13 ,HM,MRWY14,cumul,41.83061111,108.9660833
67,55.13,28.45,0.0009,10.72,0.0426,5.57,0.1962,0.0826,100.1923,mrwy14_plag5_14 ,HM,MRWY14,cumul,41.83061111,108.9660833
68,55.03,28.57,0.001,10.98,0,5.35,0.163,0.0797,100.1736,mrwy14_plag6_1 ,HM,MRWY14,cumul,41.83061111,108.9660833
69,55.19,28.43,0.0098,10.78,0.0992,5.5,0.2094,0.0674,100.2857,mrwy14_plag6_2 ,HM,MRWY14,cumul,41.83061111,108.9660833
70,55.15,28.27,0.0095,10.54,0.0133,5.53,0.2532,0.1179,99.8839,mrwy14_plag6_3 ,HM,MRWY14,cumul,41.83061111,108.9660833
71,55.47,28.34,0.0084,10.65,0,5.47,0.2504,0.1012,100.2899,mrwy14_plag6_4 ,HM,MRWY14,cumul,41.83061111,108.9660833
72,55.3,27.65,0.0369,10.17,0.0862,5.49,0.393,0.1489,99.275,mrwy14_plag6_5 ,HM,MRWY14,cumul,41.83061111,108.9660833
73,54.83,28.37,0,10.69,0.0056,5.48,0.184,0.0354,99.5951,mrwy14_plag6_6 ,HM,MRWY14,cumul,41.83061111,108.9660833
74,55.07,28.46,0.0007,10.81,0,5.5,0.186,0.0031,100.0297,mrwy14_plag6_7 ,HM,MRWY14,cumul,41.83061111,108.9660833
75,54.86,28.38,0.0097,10.77,0,5.55,0.1944,0.0431,99.8073,mrwy14_plag6_8 ,HM,MRWY14,cumul,41.83061111,108.9660833
76,55.37,28.24,0.003,10.73,0.0054,5.56,0.2023,0.0738,100.1844,mrwy14_plag6_9 ,HM,MRWY14,cumul,41.83061111,108.9660833
